,Title,Authors,Year
91,James Herriot's Treasury for Children: Warm and Joyful Tales by the Author of All Creatures Great and Small,James Herriot,1992
92,The Enchanted Castle and Five Children and It,E. Nesbit,1907
93,Children of the Corn,Stephen King,1977
94,"The Cobra King of Kathmandu (Children of the Lamp, #3)",P.B. Kerr,2006
95,"The Yellow House Mystery (The Boxcar Children, #3)",Gertrude Chandler Warner,1952
96,"The Gifts of Imperfect Parenting: Raising Children with Courage, Compassion, and Connection",Brené Brown,-1
97,"Ringworld's Children (Ringworld, #4)",Larry Niven,2004
98,"Charlie Bone and the Red Knight (Children of the Red King, #8)",Jenny Nimmo,2009
99,"Damia's Children (The Tower and the Hive, #3)",Anne McCaffrey,1993
100,Survivors: True Stories of Children in the Holocaust,Allan Zullo,2004
101,Adult Children of Emotionally Immature Parents,Lindsay C. Gibson,2015
102,The Phoenix and the Carpet (Five Children #2),E. Nesbit,1904
103,"Shifter (Includes: Warriors of Poseidon #2.5; Breeds #11.5; Feline Breeds, #9; Children of the Sea Prequel)",Angela Knight,2008
104,"Children of the Jedi (Star Wars: The Callista Trilogy, #1)",Barbara Hambly,1995
105,The Throwaway Children,Diney Costeloe,2015
106,Stolen Children,Peg Kehret,2008
107,Children Make Terrible Pets,Peter  Brown,2010
108,Children of the Flames: Dr. Josef Mengele and the Untold Story of the Twins of Auschwitz,Lucette  Lagnado,1991
109,"Burning Up (Psy-Changeling, #0.5; Children of the Sea, #3.5; Iron Seas, #0.5)",Angela Knight,2010
110,The Hidden Gallery (The Incorrigible Children of Ashton Place #2),Maryrose Wood,2010
111,All God's Children Need Traveling Shoes,Maya Angelou,1986
112,"Dark Stranger Revealed (The Children of the Gods, #2)",I.T. Lucas,2015
113,"The Conscious Parent: Transforming Ourselves, Empowering Our Children",Shefali Tsabary,2010
114,Children of the Night,Dan Simmons,1992
115,Chosen By God: Know God's Perfect Plan for His Glory and His Children,R.C. Sproul,1986
116,The Small Backs of Children,Lidia Yuknavitch,2015
117,"Ravished by a Highlander (Children of the Mist, #1)",Paula Quinn,2010
118,Other People's Children: Cultural Conflict in the Classroom,Lisa Delpit,1995
119,Mercy Among the Children,David Adams Richards,2000
120,Perfect Little Children,Sophie Hannah,2020
